threshold,call_rate,profit_per_list
0.01,1.0,-1539216.8871468236
0.02,0.997713539114813,-1532888.698350482
0.03,0.9786460885186999,-1484185.448309652
0.04,0.8047117426098318,-1038874.326310632
0.05,0.6387800097991181,-653692.2260329904
0.06,0.4491670749632533,-204903.23370896617
0.07,0.3271272252163972,68257.39016821819
0.08,0.2649436550710436,190002.44977951984
0.09,0.23272905438510533,258492.9772987098
0.1,0.2112934835864772,295177.60901518865
0.11,0.19585987261146498,323949.0445859872
0.12,0.18271272252163973,344267.5159235669
0.13,0.17413849420218847,349273.6403723665
0.14,0.16699330393597908,360085.3339866079
0.15,0.1616446186509881,367101.09423485224
0.16,0.1566225706353095,375261.7181120366
0.17,0.15266209374489628,381831.2101910828
0.18,0.14784419402253798,387785.8076106484
0.19,0.1442103544014372,387532.2554303446
0.2,0.14094398170831293,388301.07790298876
0.21,0.1384942021884697,386620.12085578963
0.22,0.13657520823125918,386533.9702760085
0.23,0.13486036256736894,386366.5686754859
0.24,0.13212477543687734,385011.8406010126
0.25,0.13020578147966683,384394.4961620121
0.26,0.12677609015188632,380341.3359464315
0.27,0.1224889759921607,374079.6994937122
0.28,0.11840601012575534,369330.39359790954
0.29,0.11354728074473297,365845.9905275192
0.3,0.10954597419565572,362445.2882573902
0.31,0.1035031847133758,352420.3821656051
0.32,0.09697043932712722,348114.89465948066
0.33,0.09149926506614404,340093.4999183407
0.34,0.0858239425118406,333746.9377756002
0.35,0.08018944961620121,323559.52964233217
0.36,0.07565735750449126,316970.43932712724
0.37,0.07198268822472643,308871.4682345256
0.38,0.06749142577168055,301628.6950841091
0.39,0.06377592683325167,295245.7945451576
0.4,0.06075453209211171,291030.1322880941
0.41,0.05834558223093255,285508.3292503675
0.42,0.05671239588437041,280846.39882410585
0.43,0.054997550220480154,278023.0279274865
0.44,0.0532010452392618,270663.89024987747
0.45,0.05083292503674669,261832.4350808427
0.46,0.04911807937285644,256353.09488812674
0.47,0.04707659643965376,247072.921770374
0.48,0.0451984321411073,240489.95590396863
0.49,0.04340192715988894,235786.78752245632
0.5,0.04152376286134248,230266.20937448964
0.51,0.039645598562796015,225276.82508574225
0.52,0.03801241221623387,218490.1192226033
0.53,0.03633839621100768,209701.12689857912
0.54,0.03478686918177364,200013.47378735914
0.55,0.033357831128531766,193676.710762698
0.56,0.03192879307528989,188402.33545647556
0.57,0.030254777070063694,180675.7308508901
0.58,0.029234035603462355,177363.62894006204
0.59,0.027845827208884535,170904.37693940877
0.6,0.026947574718275354,167224.80810060428
0.61,0.025886003593009962,163504.00130654906
0.62,0.02470194349175241,156963.49828515435
0.63,0.023313735097174586,149441.85856606238
0.64,0.02184386738526866,142696.3906581741
0.65,0.020578147966683,136400.86558876367
0.66,0.019516576841417606,131086.47721705047
0.67,0.018577494692144373,126998.2034950188
0.68,0.017638412542871143,122378.73591376776
0.69,0.01682181936959007,116860.60754532092
0.7,0.015760248244324676,112077.41303282704
0.71,0.014821166095051446,106926.7515923567
0.72,0.013677935652457946,101857.34117262778
0.73,0.012738853503184714,95644.29201371876
0.74,0.01167728237791932,87142.74048668952
0.75,0.010615711252653927,80234.77053731831
0.76,0.009472480810060429,71978.1969622734
0.77,0.007961783439490446,61105.66715662257
0.78,0.005961130164951821,47984.648048342315
0.79,0.0046137514290380535,37684.55005716153
0.8,0.0031438837171321246,25627.143557079864
0.81,0.0015923566878980893,13283.521149763188
0.82,0.0006532745386248571,5476.890413196146
0.83,0.00020414829332026784,1512.330556916544
0.84,4.082965866405357e-05,-122.4889759921607
0.85,0.0,0.0
0.86,0.0,0.0
0.87,0.0,0.0
0.88,0.0,0.0
0.89,0.0,0.0
0.9,0.0,0.0
