train_size,train_mean,train_std,valid_mean,valid_std
1959,0.6429433499901067,0.01692805034726938,0.4172505421660386,0.03316127801356137
5486,0.5634380063128089,0.014201474863263171,0.44287103505270203,0.025034209496715767
9012,0.5360630628260721,0.01712519293343768,0.44867470735487236,0.02774617841787767
12539,0.5237262907765593,0.014608776242514056,0.45387432368025526,0.02727890014208451
16066,0.5111434242065347,0.008519946589914068,0.4562207869150118,0.024648939677899544
19593,0.4996507500612827,0.0054186929283392355,0.45727680896652523,0.024975046143059444
