model,pr_auc_diff_mean,pr_auc_diff_std,reference_wins,folds
Random forest (tuned),0.004232499747986529,0.00385589617328527,4,5
Random forest,0.005124854024602032,0.003201585400239878,5,5
LightGBM,0.013115915429834013,0.0031762620467996046,5,5
Logistic regression (one-hot),0.019098782932716198,0.008136351472547227,5,5
Logistic scorecard (WoE),0.035002468634295535,0.01113972015783574,5,5
Business rule (previous outcome),0.20303164445715566,0.012536815335438344,5,5
Baseline (response rate),0.3459937222216314,0.02776320618964526,5,5
