round,train_logloss,valid_logloss
1,0.3492980918457178,0.34928159462129044
2,0.34744201892524756,0.3473716876896037
3,0.34560465092259135,0.3455580429155696
4,0.3438598805052015,0.3438106465162641
5,0.34216341318959487,0.3421467379776535
6,0.3405508263175417,0.3405483675361739
7,0.33906361761450127,0.3390383105428769
8,0.3375905595452304,0.33757959348945543
9,0.33610753838144675,0.33609274013025037
10,0.3347481641783618,0.3347233731932051
11,0.3334225968879531,0.3333906315331374
12,0.332172820158769,0.33210819155709354
13,0.3309087167354612,0.33086836614972187
14,0.3296806523489242,0.32963242564617923
15,0.32848373985924456,0.3284403212808623
16,0.3273417895392616,0.327322286067373
17,0.32622142771219875,0.3261920700345589
18,0.3251438509741625,0.3251007313637766
19,0.3241045197393669,0.32403712749194175
20,0.32309897590475295,0.3229901296922632
21,0.32208511260089523,0.32198588723738863
22,0.3212074863060922,0.32108947935774274
23,0.320301433665461,0.3201542272432996
24,0.3193628318699048,0.31923824726112904
25,0.31850705906170285,0.31836900170474536
26,0.31763658302999837,0.31749563372741635
27,0.3167782909013015,0.3166307331872341
28,0.315941112353192,0.3158037107485825
29,0.31513966068907856,0.31501154002673876
30,0.3143780174904746,0.31425339335236996
31,0.31361499911032187,0.3134798751706947
32,0.31286161208488494,0.3126980975264191
33,0.31212325944567787,0.31195488648260206
34,0.3114090065310682,0.3112353455594054
35,0.310700609318327,0.3105014429169059
36,0.31002394774042263,0.3098310338903263
37,0.3093522099720514,0.30914764987818744
38,0.3087285470800164,0.3085528042439186
39,0.30809672453307924,0.3079038396029407
40,0.3075777972665721,0.30738777886032237
41,0.30696017005576265,0.3067802004885409
42,0.3063526556915925,0.30616881391180795
43,0.3057972801874006,0.3056285714923738
44,0.30520716495499084,0.3050202519109933
45,0.3046231669736969,0.3044287712415603
46,0.3040707588248341,0.3038933926706845
47,0.30353721078582546,0.3033457616047224
48,0.3029992138787116,0.30280242381081973
49,0.30247614284588487,0.30228627647032247
50,0.3019653013052325,0.30177703045505083
51,0.301470977570156,0.3012916369536705
52,0.3009943907643574,0.3007943764682622
53,0.30051145659051304,0.30031721605048145
54,0.300052222511986,0.2998555024960975
55,0.2996061182890856,0.2993904454125752
56,0.29917034578168145,0.2989369457552806
57,0.29875223730994244,0.2985521924729955
58,0.298316819083142,0.29811490377519906
59,0.29789095148879396,0.2976903578780904
60,0.2974739698892012,0.297287946577584
61,0.2970554585308224,0.29687186912487123
62,0.29667827301173827,0.2964808259599413
63,0.29628047686017267,0.2960701060856574
64,0.2959009151318056,0.2956597057817374
65,0.29553866104613413,0.2952898017959347
66,0.2951827053206978,0.29493197278708927
67,0.2948277990281795,0.29456271546158463
68,0.29445830587207783,0.29419099168175084
69,0.2941150540913953,0.2938450434740364
70,0.2937730960018806,0.2935005491672926
71,0.29344300741855395,0.293193143755175
72,0.29311266327414365,0.29284917908555713
73,0.29280233319644167,0.29254062393896235
74,0.2924848515112379,0.29220259237994173
75,0.29217579848473424,0.29188139728138124
76,0.29187033171409893,0.2915692291303465
77,0.29157722377317324,0.29129147422961205
78,0.29128613867495917,0.2909997142523061
79,0.2909921217769727,0.29069549896802743
80,0.29071895906307177,0.2904357688584292
81,0.2904243745347617,0.29014732103190866
82,0.2901520924588206,0.28983912045890897
83,0.2898841501591554,0.2895726015964767
84,0.2896160940289687,0.2893111018652427
85,0.2893541972833793,0.2890495016616352
86,0.2891034009104566,0.2888014522851297
87,0.28885495311776066,0.2885674009509237
88,0.28859516380722344,0.288315577208761
89,0.28833972707162087,0.2880537515164485
90,0.2880842566509733,0.2878025142145204
91,0.28785114258833316,0.2875702964891024
92,0.2876297763628581,0.287341566024636
93,0.28740470897164316,0.2871304667108483
94,0.28718531737386194,0.2869041797878702
95,0.2869752815117785,0.2866973666657989
96,0.2867553376171829,0.28647027095800415
97,0.28653702429743966,0.28626241381713186
98,0.28632892257993736,0.2860490594577113
99,0.28613327004954664,0.2858460530442153
100,0.2859275282236716,0.28563622728635
101,0.28572325989860453,0.28544935778843467
102,0.28552718559021206,0.2852475078430869
103,0.28533630108529423,0.2850455977818338
104,0.285146741285152,0.284842519235184
105,0.2849548840108241,0.28465197631390227
106,0.2847661082382111,0.28444985754698915
107,0.2845714989501538,0.2842493214721099
108,0.28438447958845275,0.28404277352129625
109,0.28421073104960903,0.2838796139121578
110,0.2840454887082536,0.28370945326467606
111,0.2838676255480919,0.28354629579559526
112,0.28371220745300074,0.2834093885304492
113,0.2835492381076718,0.28324379402125766
114,0.28339115597807235,0.28308020680075147
115,0.2832375313630419,0.2829442454519672
116,0.2830796623263428,0.2827795264805231
117,0.28291825347708405,0.28260832543865383
118,0.28276804488844576,0.2824399383305008
119,0.28261251524832265,0.2822919444858021
120,0.2824638687191268,0.28214426855891556
121,0.2823166217705015,0.2819876463295928
122,0.28216822538046243,0.2818448938511354
123,0.2820192174822075,0.28169369467463945
124,0.28186752477810556,0.2815407575551609
125,0.2817368512148065,0.281405410702143
126,0.2815918450429708,0.2812588705408582
127,0.28145600168907375,0.281110673487024
128,0.28132243885178,0.28098060821459653
129,0.2811946519709002,0.2808492373521181
130,0.2810629402176718,0.2807216621046324
131,0.28094029159249395,0.28060348000591145
132,0.28082460083837596,0.28048889800202026
133,0.2807009162039711,0.2803635520374993
134,0.2805861477238256,0.28025707722628407
135,0.28046679941980945,0.2801391021374939
136,0.28034673461542786,0.2800312875113507
137,0.2802443101197223,0.27994807715392317
138,0.28012672413682915,0.2798287198164202
139,0.28000767333135657,0.2797262518238278
140,0.27989819242347935,0.27963298271671205
141,0.27978280890067936,0.27951396341652285
142,0.27967838672081313,0.27940603516014645
143,0.2795714775296407,0.2792999930052808
144,0.27946434942946863,0.27921212269645235
145,0.2793536581305702,0.2791333187933964
146,0.2792672075273942,0.27906462144418837
147,0.2791681812395251,0.2789729473239135
148,0.27906696628669037,0.27889618488632556
149,0.2789662444172598,0.2787972240600162
150,0.2788750960395459,0.2787201463489818
151,0.2787783220860715,0.2786206040087723
152,0.2786923022364289,0.278529384859464
153,0.2785986498016493,0.27843794583655607
154,0.2784992528828371,0.27833976742245986
155,0.27840627307548665,0.27825318208900063
156,0.2783141070202013,0.27816190400583257
157,0.27822103116326946,0.2780690568693565
158,0.27813270815036806,0.27799682607034976
159,0.27803460270377167,0.277881874271528
160,0.277952108387126,0.27780236295045185
161,0.2778607880619304,0.2777124134709167
162,0.27777507381070077,0.2776529205603937
163,0.27768734977810494,0.27757994216604037
164,0.27760009087685,0.27750775126884974
165,0.27751903655443194,0.27742751787735737
166,0.2774399050001863,0.2773508606217957
167,0.27735862058136446,0.2772731177947489
168,0.27728664286317556,0.2772189471579678
169,0.2772135564074637,0.2771523901109274
170,0.277143435772777,0.2770948439927658
171,0.2770663995560025,0.27702057969866
172,0.2769897144605663,0.27695490555730823
173,0.27692330155278433,0.2768992141326953
174,0.2768485572652078,0.2768644522708376
175,0.27678496651939866,0.2768209129137052
176,0.27670897847698916,0.27675660054455714
177,0.27663122776174126,0.27669647327196095
178,0.27656199357625455,0.27665456796848925
179,0.27650051227310746,0.2766020586144393
180,0.2764413651978193,0.27654992549955126
181,0.2763769479020048,0.2764816031345766
182,0.2763111384317833,0.27641057530327273
183,0.27625373917932877,0.27635360708662565
184,0.2761882236303378,0.27628762552168884
185,0.27611875675224884,0.276227591702138
186,0.2760563124396006,0.27616918861022427
187,0.27599096721399563,0.2761175620133123
188,0.27593326992585293,0.27607475928535397
189,0.2758761021042869,0.276046177048781
190,0.2758142032951283,0.2759922056671009
191,0.2757615027020199,0.2759556092219447
192,0.27570585220997235,0.27591567079213625
193,0.2756473196336538,0.27585635947057036
194,0.2755903111199838,0.2757996508634195
195,0.27552366830738245,0.27575659819153836
196,0.2754647450644453,0.2757276177238288
197,0.2754031208532246,0.2756762567638497
198,0.2753435737072924,0.27563226558850396
199,0.2752914632413891,0.2755954745652333
200,0.27523817382879107,0.2755536006189155
201,0.2751837488011969,0.27551821042780494
202,0.2751260423409894,0.27546618063581385
203,0.275063739207025,0.2754232425387409
204,0.275018293893092,0.27538496505867366
205,0.2749707583297176,0.27533976128166726
