model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,ks_mean,ks_std,lift_top10_mean,lift_top10_std,brier_mean,brier_std,train_pr_auc_mean,train_pr_auc_std,train_roc_auc_mean,train_roc_auc_std,gini_mean,overfit_gap_pr_auc
Baseline (response rate),0.11228156244918278,1.2554432806381948e-05,0.5,0.0,0.0,0.0,0.9669625231910945,0.08377013042052675,0.09967441325408327,9.735137802034195e-06,0.1122815613963406,3.1387683591776076e-06,0.5,0.0,0.0,-1.052842174553703e-09
Business rule (previous outcome),0.25524364021365853,0.02212725492897682,0.6740062952547848,0.01101444621500553,0.23107334792625975,0.012674441066653651,2.690008905380334,0.251244503957725,0.10001282784438388,0.0027417298325295826,0.2546418075006446,0.0056236366151263895,0.6740960787229279,0.0027425428766676492,0.3480125905095697,-0.00060183271301395
Logistic scorecard (WoE),0.42327281603651856,0.029802568140694232,0.7829164623740935,0.010983322649301233,0.4812762142446011,0.03320385722661183,4.202247124304267,0.22568294362900693,0.08034310825992627,0.002438155419129176,0.4249287806659545,0.007572556110286047,0.7849654160372037,0.0025618960617050514,0.565832924748187,0.0016559646294359576
Logistic regression (one-hot),0.43917650173809786,0.029619700144753035,0.7803079137258013,0.01154888822869067,0.4779602222980627,0.028716556313655734,4.285861966604823,0.2308679500121178,0.0793930151075982,0.002644900544549686,0.4461552401252524,0.007502637809100121,0.7847517234300323,0.002742815348910438,0.5606158274516027,0.006978738387154515
Random forest,0.4531504306462121,0.02718410349929117,0.7840085912397866,0.01472671946104539,0.4850657461483475,0.03856111959001846,4.384005194805195,0.26031608702028924,0.07825708142232446,0.002546812299321388,0.5122810652448666,0.006969164076492867,0.8540022330768476,0.00465892527887223,0.5680171824795732,0.05913063459865453
LightGBM,0.44515936924098015,0.026857772413253926,0.7787083779534749,0.0172413664766279,0.480933618517631,0.03593627710037211,4.369465677179963,0.24097260012592328,0.0789069203006012,0.002762718698363674,0.603556735947105,0.0068195636126243036,0.8798168618040243,0.0030950014750243827,0.5574167559069498,0.15839736670612486
Random forest (tuned),0.45404278492282757,0.024462984656899677,0.7871154767659918,0.011484449054542382,0.48638973948055186,0.033870939332978627,4.413089424860853,0.22127860592653517,0.07793742526991272,0.0026049867133624495,0.5252542369757839,0.005708806087428477,0.8125887818025269,0.0024040551655829063,0.5742309535319836,0.07121145205295631
LightGBM (tuned),0.45827528467081413,0.02777327074389849,0.7886780822050841,0.012370269278978925,0.4876729297073231,0.03546993655034214,4.442171428571429,0.23335507892863605,0.07775725579365192,0.002749702817104391,0.49973857940725075,0.006824356427800383,0.8137845604455174,0.003319328796646144,0.5773561644101681,0.04146329473643662
