risk_band,share,profit_taken_up,profit_not_taken_up,called_takers_tp,called_non_takers_fp,missed_takers_fn,skipped_non_takers_tn,net_profit_called,missed_profit_fn,wasted_cost_fp
High,0.1,285.0,-300.0,65.16147470705916,82.21396589501764,47.15633038010861,805.4682290178146,-6093.169476993429,13439.554158330953,24664.18976850529
Medium,0.25,705.0,-300.0,162.90368676764788,205.53491473754409,117.8908259502715,2013.6705725445363,53186.62474992853,83113.03229494141,61660.47442126323
Low,0.65,1225.0,-300.0,423.54958559588454,534.3907783176146,306.5161474707059,5235.543488615795,358531.00885967416,375482.2806516147,160317.2334952844
Total,1.0,1001.0,-300.0,651.6147470705916,822.1396589501763,471.563303801086,8054.682290178145,405624.46413260925,472034.8671048871,246641.8976850529
