mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__colsample_bytree,param_model__learning_rate,param_model__min_child_samples,param_model__num_leaves,param_model__reg_lambda,param_model__subsample
0.7675956885019938,0.16078640002330669,0.08180371920267741,0.002857742258695263,,,,508,"{'model__colsample_bytree': np.float64(0.8238450602706812), 'model__learning_rate': np.float64(0.010011989304553251), 'model__min_child_samples': 22, 'model__n_estimators': 508, 'model__num_leaves': 13, 'model__reg_lambda': np.float64(1.8415478124479583), 'model__subsample': np.float64(0.7669644012595116)}",0.4354825640599914,0.4612295535881067,0.47646162169984835,0.4577245797826488,0.016912212989343697,1,LightGBM,0.8238450602706812,0.010011989304553251,22.0,13.0,1.8415478124479583,0.7669644012595116
1.5449419816335042,0.06366748348864104,0.10086703300476074,0.0026049546815949893,,,,465,"{'model__colsample_bytree': np.float64(0.7252496259847715), 'model__learning_rate': np.float64(0.0103101494629989), 'model__min_child_samples': 108, 'model__n_estimators': 465, 'model__num_leaves': 21, 'model__reg_lambda': np.float64(10.057690178153985), 'model__subsample': np.float64(0.7218455076693483)}",0.43339690117843116,0.4523894984823178,0.47413121862972685,0.45330587276349193,0.016642334790590154,2,LightGBM,0.7252496259847715,0.0103101494629989,108.0,21.0,10.057690178153985,0.7218455076693483
0.49195559819539386,0.15259479767598438,0.05266960461934408,0.0012251802624918743,,,,245,"{'model__colsample_bytree': np.float64(0.5539457134966522), 'model__learning_rate': np.float64(0.010750512925563078), 'model__min_child_samples': 71, 'model__n_estimators': 245, 'model__num_leaves': 11, 'model__reg_lambda': np.float64(17.70729418560416), 'model__subsample': np.float64(0.69971689165955)}",0.43237922892317016,0.45482943909754003,0.47188267385597665,0.4530304472922289,0.016177305482815554,3,LightGBM,0.5539457134966522,0.010750512925563078,71.0,11.0,17.70729418560416,0.69971689165955
1.3664918740590413,0.2283402087061988,0.07962743441263835,0.014467226511158756,,,,310,"{'model__colsample_bytree': np.float64(0.9162213204002109), 'model__learning_rate': np.float64(0.016305687346221478), 'model__min_child_samples': 40, 'model__n_estimators': 310, 'model__num_leaves': 19, 'model__reg_lambda': np.float64(3.274455135371413), 'model__subsample': np.float64(0.6028265220878869)}",0.4319867955167603,0.4507841341367261,0.4716743929803184,0.4514817742112682,0.016209901796177158,4,LightGBM,0.9162213204002109,0.016305687346221478,40.0,19.0,3.274455135371413,0.6028265220878869
1.2068780263264973,0.0787619514345637,0.08321324984232585,0.00043393257032297596,,,,537,"{'model__colsample_bytree': np.float64(0.954660201039391), 'model__learning_rate': np.float64(0.01814596135349025), 'model__min_child_samples': 123, 'model__n_estimators': 537, 'model__num_leaves': 9, 'model__reg_lambda': np.float64(1.1302191284720993), 'model__subsample': np.float64(0.6831766651472755)}",0.42688557855566656,0.4498473561931311,0.4688143615698527,0.44851576543955013,0.01714323115623078,5,LightGBM,0.954660201039391,0.01814596135349025,123.0,9.0,1.1302191284720993,0.6831766651472755
0.48497962951660156,0.014809065037383688,0.08408705393473308,0.0027608404387104934,,,,552,"{'model__colsample_bytree': np.float64(0.5165253664502742), 'model__learning_rate': np.float64(0.022134578078538455), 'model__min_child_samples': 148, 'model__n_estimators': 552, 'model__num_leaves': 9, 'model__reg_lambda': np.float64(2.066280804640938), 'model__subsample': np.float64(0.7791132658292367)}",0.4267676679401403,0.44666782360132634,0.4718056587825965,0.4484137167746877,0.0184280811446532,6,LightGBM,0.5165253664502742,0.022134578078538455,148.0,9.0,2.066280804640938,0.7791132658292367
5.578161239624023,1.3972390740815326,0.24713659286499023,0.03318235049427352,,,,879,"{'model__colsample_bytree': np.float64(0.7838501639099957), 'model__learning_rate': np.float64(0.010747644490645848), 'model__min_child_samples': 165, 'model__n_estimators': 879, 'model__num_leaves': 51, 'model__reg_lambda': np.float64(21.244807336152007), 'model__subsample': np.float64(0.9579309401710595)}",0.4267471520778856,0.4469653044736592,0.47136808784374057,0.4483601814650951,0.01824310351011338,7,LightGBM,0.7838501639099957,0.010747644490645848,165.0,51.0,21.244807336152007,0.9579309401710595
2.186312437057495,0.40224236091812654,0.10104616483052571,0.006652342315082104,,,,654,"{'model__colsample_bytree': np.float64(0.8091930046665436), 'model__learning_rate': np.float64(0.02412470387944659), 'model__min_child_samples': 83, 'model__n_estimators': 654, 'model__num_leaves': 10, 'model__reg_lambda': np.float64(13.49511716041899), 'model__subsample': np.float64(0.8721230154351118)}",0.42594868430467814,0.44409779956949824,0.47464124545850206,0.4482292431108928,0.02009217090032033,8,LightGBM,0.8091930046665436,0.02412470387944659,83.0,10.0,13.49511716041899,0.8721230154351118
2.7193240324656167,0.9102607057875675,0.2070042292277018,0.007632373452595058,,,,848,"{'model__colsample_bytree': np.float64(0.856135294962221), 'model__learning_rate': np.float64(0.014063289918538302), 'model__min_child_samples': 100, 'model__n_estimators': 848, 'model__num_leaves': 56, 'model__reg_lambda': np.float64(26.253890210994125), 'model__subsample': np.float64(0.7644148053272926)}",0.42423750536288457,0.44578867126496974,0.473344909047571,0.44779036189180843,0.02009791611398005,9,LightGBM,0.856135294962221,0.014063289918538302,100.0,56.0,26.253890210994125,0.7644148053272926
2.1921866734822593,0.23387451165501988,0.16715280214945474,0.01029944804877666,,,,813,"{'model__colsample_bytree': np.float64(0.6110539052353652), 'model__learning_rate': np.float64(0.01317848138124919), 'model__min_child_samples': 191, 'model__n_estimators': 813, 'model__num_leaves': 22, 'model__reg_lambda': np.float64(0.26114235575346567), 'model__subsample': np.float64(0.687505687829228)}",0.420968265362062,0.447549851943024,0.4737332903351045,0.44741713588006354,0.021541435657301253,10,LightGBM,0.6110539052353652,0.01317848138124919,191.0,22.0,0.26114235575346567,0.687505687829228
