feature,vif
number_of_employees,1.8118804078887236
consumer_price_index,1.3906621524333247
prev_campaign_attempts,1.357704556714913
consumer_confidence_index,1.0307960858459486
call_attempts,1.0266265975522195
age,1.0173578931536784
